FlightNumber,Date,BoosterVersion,PayloadMass,Payload,Orbit,LaunchSite,LandingOutcome,Flights,GridFins,Reused,Legs,LandingPad,Block,Customers,Mission_Outcome,ReusedCount,Serial,Longitude,Latitude
87,2020-10-06,Falcon 9,15600.0,Starlink-12,VLEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,13,B1058,-80.6039558,28.6080585
88,2020-10-18,Falcon 9,15600.0,Starlink-13,VLEO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-80.6039558,28.6080585
89,2020-10-24,Falcon 9,15600.0,Starlink-14,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,12,B1060,-80.577366,28.5618571
90,2020-11-05,Falcon 9,3681.0,GPS III SV04 (Sacagawea),MEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,United States Space Force,True,8,B1062,-80.577366,28.5618571
91,2020-11-16,Falcon 9,8191.079109589042,Crew-1,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,NASA (CCtCap),True,9,B1061,-80.6039558,28.6080585
92,2020-11-21,Falcon 9,1440.0,Sentinel-6 Michael Freilich,PO,VAFB SLC 4E,True RTLS,1,True,False,True,5e9e3032383ecb554034e7c9,5.0,NASA,True,6,B1063,-120.610829,34.632093
93,2020-11-25,Falcon 9,15600.0,Starlink-15,VLEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-80.577366,28.5618571
94,2020-12-06,Falcon 9,2972.0,CRS-21,ISS,KSC LC 39A,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CRS),True,13,B1058,-80.6039558,28.6080585
95,2020-12-13,Falcon 9,7000.0,SXM-7,GTO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SiriusXM,True,12,B1051,-80.577366,28.5618571
96,2020-12-19,Falcon 9,8191.079109589042,NROL-108,,KSC LC 39A,True RTLS,5,True,True,True,5e9e3032383ecb267a34e7c7,5.0,National Reconnaissance Office,True,5,B1059,-80.6039558,28.6080585
97,2021-01-08,Falcon 9,3500.0,Turksat 5A,GTO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,Turksat,True,12,B1060,-80.577366,28.5618571
98,2021-01-20,Falcon 9,15600.0,Starlink-16,VLEO,KSC LC 39A,True ASDS,8,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,12,B1051,-80.6039558,28.6080585
99,2021-01-24,Falcon 9,8191.079109589042,Transporter-1,SSO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,,True,13,B1058,-80.577366,28.5618571
100,2021-02-04,Falcon 9,15600.0,Starlink-18,VLEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1060,-80.577366,28.5618571
101,2021-02-16,Falcon 9,15600.0,Starlink-19,VLEO,CCSFS SLC 40,False ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,5,B1059,-80.577366,28.5618571
102,2021-03-04,Falcon 9,15600.0,Starlink-17,VLEO,KSC LC 39A,True ASDS,8,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-80.6039558,28.6080585
103,2021-03-11,Falcon 9,15600.0,Starlink-20,VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,13,B1058,-80.577366,28.5618571
104,2021-03-14,Falcon 9,15600.0,Starlink-21,VLEO,KSC LC 39A,True ASDS,9,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-80.6039558,28.6080585
105,2021-03-24,Falcon 9,15600.0,Starlink-22,VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1060,-80.577366,28.5618571
106,2021-04-07,Falcon 9,15600.0,Starlink-23,VLEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,13,B1058,-80.577366,28.5618571
107,2021-04-23,Falcon 9,8191.079109589042,Crew-2,ISS,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CCtCap),True,9,B1061,-80.6039558,28.6080585
108,2021-04-29,Falcon 9,15600.0,Starlink-24,VLEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,12,B1060,-80.577366,28.5618571
109,2021-05-04,Falcon 9,15600.0,Starlink-25,VLEO,KSC LC 39A,True ASDS,9,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-80.6039558,28.6080585
110,2021-05-09,Falcon 9,15600.0,Starlink-27,VLEO,CCSFS SLC 40,True ASDS,10,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-80.577366,28.5618571
111,2021-05-26,Falcon 9,15600.0,Starlink-28,VLEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,6,B1063,-80.577366,28.5618571
112,2021-06-03,Falcon 9,3328.0,CRS-22,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CRS),True,5,B1067,-80.6039558,28.6080585
113,2021-06-06,Falcon 9,7000.0,SXM-8,GTO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SiriusXM,True,9,B1061,-80.577366,28.5618571
114,2021-06-17,Falcon 9,3681.0,GPS III SV05,MEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,USAF,True,8,B1062,-80.577366,28.5618571
115,2021-06-30,Falcon 9,8191.079109589042,Transporter-2,SSO,CCSFS SLC 40,True RTLS,8,True,True,True,5e9e3032383ecb267a34e7c7,5.0,,True,12,B1060,-80.577366,28.5618571
116,2021-08-29,Falcon 9,8191.079109589042,CRS-23,ISS,KSC LC 39A,True ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5.0,NASA (CRS),True,9,B1061,-80.6039558,28.6080585
117,2021-09-14,Falcon 9,15600.0,Starlink 2-1 (v1.5),PO,VAFB SLC 4E,True ASDS,10,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-120.610829,34.632093
118,2021-09-16,Falcon 9,8191.079109589042,Inspiration4,LEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,Jared Isaacman,True,8,B1062,-80.6039558,28.6080585
119,2021-11-11,Falcon 9,12519.0,Crew-3,ISS,KSC LC 39A,True ASDS,2,True,True,True,5e9e3033383ecb075134e7cd,5.0,NASA (CCtCap),True,5,B1067,-80.6039558,28.6080585
120,2021-11-13,Falcon 9,13260.0,Starlink 4-1 (v1.5),LEO,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,13,B1058,-80.577366,28.5618571
121,2021-11-24,Falcon 9,670.0,DART (Double Asteroid Redirection Test),TLI,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,NASA,True,6,B1063,-120.610829,34.632093
122,2021-12-01,Falcon 9,13260.0,Starlink 4-3 (v1.5),PO,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,12,B1060,-80.577366,28.5618571
123,2021-12-09,Falcon 9,330.0,IPXE,LEO,KSC LC 39A,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,"NASA,ASI",True,9,B1061,-80.6039558,28.6080585
124,2021-12-18,Falcon 9,13260.0,Starlink 4-4 (v1.5),PO,VAFB SLC 4E,True ASDS,11,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-120.610829,34.632093
125,2021-12-19,Falcon 9,3500.0,Türksat 5B,GTO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecb075134e7cd,5.0,Turksat,True,5,B1067,-80.577366,28.5618571
126,2021-12-21,Falcon 9,8191.079109589042,CRS-24,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,NASA (CRS),True,1,B1069,-80.6039558,28.6080585
127,2022-01-06,Falcon 9,13260.0,Starlink 4-5 (v1.5),VLEO,KSC LC 39A,True ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,8,B1062,-80.6039558,28.6080585
128,2022-01-13,Falcon 9,8191.079109589042,NROL-87,LEO,CCSFS SLC 40,True RTLS,10,True,True,True,5e9e3032383ecb267a34e7c7,5.0,"National Reconnaissance Office,USAF",True,13,B1058,-80.577366,28.5618571
129,2022-01-19,Falcon 9,13260.0,Starlink 4-6 (v1.5),VLEO,KSC LC 39A,True ASDS,10,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,12,B1060,-80.6039558,28.6080585
130,2022-01-31,Falcon 9,2240.0,CSG-2,SSO,CCSFS SLC 40,True RTLS,3,True,True,True,5e9e3032383ecb267a34e7c7,5.0,ESA,True,6,B1052,-80.577366,28.5618571
131,2022-02-02,Falcon 9,8191.079109589042,NROL-87,LEO,VAFB SLC 4E,True RTLS,1,True,False,True,5e9e3032383ecb554034e7c9,5.0,"National Reconnaissance Office,USAF",True,3,B1071,-120.610829,34.632093
132,2022-02-03,Falcon 9,13260.0,Starlink 4-7 (v1.5),VLEO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,9,B1061,-80.6039558,28.6080585
133,2022-02-21,Falcon 9,13260.0,Starlink 4-8 (v1.5),VLEO,CCSFS SLC 40,True ASDS,11,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,13,B1058,-80.577366,28.5618571
134,2022-02-25,Falcon 9,13260.0,Starlink 4-11 (v1.5),VLEO,VAFB SLC 4E,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,6,B1063,-120.610829,34.632093
135,2022-03-03,Falcon 9,13260.0,Starlink 4-9 (v1.5),VLEO,KSC LC 39A,True ASDS,11,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,12,B1060,-80.6039558,28.6080585
136,2022-03-09,Falcon 9,13260.0,Starlink 4-10 (v1.5),VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,6,B1052,-80.577366,28.5618571
137,2022-03-19,Falcon 9,13260.0,Starlink 4-12 (v1.5),VLEO,CCSFS SLC 40,True ASDS,12,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,12,B1051,-80.577366,28.5618571
138,2022-04-01,Falcon 9,8191.079109589042,Transporter-4,SSO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,,True,9,B1061,-80.577366,28.5618571
139,2022-04-08,Falcon 9,8191.079109589042,Ax-1,ISS,KSC LC 39A,True ASDS,5,True,True,True,5e9e3033383ecb075134e7cd,5.0,Axiom Space,True,8,B1062,-80.6039558,28.6080585
140,2022-04-17,Falcon 9,8191.079109589042,NROL-85,LEO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,"USAF,National Reconnaissance Office",True,3,B1071,-120.610829,34.632093
141,2022-04-21,Falcon 9,13260.0,Starlink 4-14 (v1.5),VLEO,CCSFS SLC 40,True ASDS,12,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,12,B1060,-80.577366,28.5618571
142,2022-04-27,Falcon 9,8191.079109589042,Crew-4,ISS,KSC LC 39A,True ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5.0,NASA (CCtCap),True,5,B1067,-80.6039558,28.6080585
143,2022-04-29,Falcon 9,13260.0,Starlink 4-16 (v1.5),VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,8,B1062,-80.577366,28.5618571
144,2022-05-06,Falcon 9,13260.0,Starlink 4-17 (v1.5),VLEO,KSC LC 39A,True ASDS,12,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,13,B1058,-80.6039558,28.6080585
145,2022-05-13,Falcon 9,13260.0,Starlink 4-13 (v1.5),VLEO,VAFB SLC 4E,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,6,B1063,-120.610829,34.632093
146,2022-05-14,Falcon 9,13260.0,Starlink 4-15 (v1.5),VLEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,2,B1073,-80.577366,28.5618571
147,2022-05-18,Falcon 9,13260.0,Starlink 4-18 (v1.5),VLEO,KSC LC 39A,True ASDS,5,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,6,B1052,-80.6039558,28.6080585
148,2022-05-25,Falcon 9,8191.079109589042,Transporter-5,SSO,CCSFS SLC 40,True RTLS,8,True,True,True,5e9e3032383ecb267a34e7c7,5.0,,True,9,B1061,-80.577366,28.5618571
149,2022-06-08,Falcon 9,3938.0,Nilesat-301,GEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,Nilesat,True,8,B1062,-80.577366,28.5618571
150,2022-06-01,Falcon 9,13260.0,Starlink 4-19 (v1.5),VLEO,KSC LC 39A,True ASDS,13,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,12,B1060,-80.6039558,28.6080585
151,2022-06-18,Falcon 9,2200.0,SARah 1,SSO,VAFB SLC 4E,True RTLS,3,True,True,True,5e9e3032383ecb554034e7c9,5.0,"OHB-System,AG,Bundeswehr",True,3,B1071,-120.610829,34.632093
152,2022-06-19,Falcon 9,700.0,Globalstar FM15,LEO,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,Globalstar,True,9,B1061,-80.577366,28.5618571
153,2022-06-29,Falcon 9,3500.0,SES-22,MEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecb075134e7cd,5.0,SES,True,2,B1073,-80.577366,28.5618571
154,2022-07-07,Falcon 9,13260.0,Starlink 4-21 (v1.5),VLEO,CCSFS SLC 40,True ASDS,13,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,13,B1058,-80.577366,28.5618571
155,2022-07-11,Falcon 9,13260.0,Starlink 3-1 (v1.5),VLEO,VAFB SLC 4E,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,,6,B1063,-120.610829,34.632093
156,2022-07-15,Falcon 9,8191.079109589042,CRS-25,ISS,KSC LC 39A,True ASDS,5,True,True,True,5e9e3033383ecb075134e7cd,5.0,NASA (CRS),True,5,B1067,-80.6039558,28.6080585
157,2022-07-17,Falcon 9,13260.0,Starlink 4-22 (v1.5),VLEO,CCSFS SLC 40,True ASDS,13,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,12,B1051,-80.577366,28.5618571
158,2022-07-21,Falcon 9,13260.0,Starlink 3-2 (v1.5),VLEO,VAFB SLC 4E,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,3,B1071,-120.610829,34.632093
159,2022-07-24,Falcon 9,13260.0,Starlink 4-25 (v1.5),VLEO,CCSFS SLC 40,True ASDS,8,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,8,B1062,-80.577366,28.5618571
160,2022-08-04,Falcon 9,678.0,KPLO,TLI,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,KARI,True,6,B1052,-80.577366,28.5618571
161,2022-08-09,Falcon 9,13260.0,Starlink 4-26 (v1.5),VLEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,2,B1073,-80.6039558,28.6080585
162,2022-08-12,Falcon 9,13260.0,Starlink 3-3 (v1.5),VLEO,VAFB SLC 4E,True ASDS,10,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1061,-120.610829,34.632093
163,2022-08-19,Falcon 9,13260.0,Starlink 4-27 (v1.5),VLEO,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,8,B1062,-80.577366,28.5618571
164,2022-08-28,Falcon 9,13260.0,Starlink 4-23 (v1.5),VLEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,1,B1069,-80.6039558,28.6080585
165,2022-08-31,Falcon 9,13260.0,Starlink 3-4 (v1.5),VLEO,VAFB SLC 4E,True ASDS,7,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,6,B1063,-120.610829,34.632093
166,2022-09-17,Falcon 9,13260.0,Starlink 4-34 (v1.5),VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,5,B1067,-80.577366,28.5618571
167,2022-09-24,Falcon 9,13260.0,Starlink 4-35 (v1.5),VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,0,B1072,-80.577366,28.5618571
168,2022-10-05,Falcon 9,8191.079109589042,Crew-5,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,NASA (CCtCap),True,0,B1077,-80.6039558,28.6080585
